Fixed_Acidity,Volatile_Acidity,Citric_Acid,Chlorides,Free_Sulfur_Dioxide,Total_Sulfur_Dioxide,pH,Sulphates,Alcohol,Quality,Sugar_Density
7.0,0.27,0.36,0.045,45.0,170.0,3.0,0.45,8.8,Normal,20.720699999999997
6.3,0.3,0.34,0.049,14.0,132.0,3.3,0.49,9.5,Normal,1.5904
8.1,0.28,0.4,0.05,30.0,97.0,3.26,0.44,10.1,Normal,6.8661900000000005
7.2,0.23,0.32,0.058,47.0,186.0,3.19,0.4,9.9,Normal,8.4626
6.2,0.32,0.16,0.045,30.0,136.0,3.18,0.47,9.6,Normal,6.9643
8.1,0.22,0.43,0.044,28.0,129.0,3.22,0.45,11.0,Normal,1.4907
8.1,0.27,0.41,0.033,11.0,63.0,2.99,0.56,12.0,Normal,1.43666
8.6,0.23,0.4,0.035,17.0,109.0,3.14,0.53,9.7,Normal,4.17774
7.9,0.18,0.37,0.04,16.0,75.0,3.18,0.63,10.8,Normal,1.1904
6.6,0.16,0.4,0.044,48.0,143.0,3.54,0.52,12.4,Normal,1.4868
8.3,0.42,0.62,0.04,41.0,172.0,2.98,0.67,9.7,Normal,19.25385
6.6,0.17,0.38,0.032,28.0,112.0,3.25,0.55,11.4,Normal,1.4870999999999999
6.3,0.48,0.04,0.046,30.0,99.0,3.24,0.36,9.6,Normal,1.0920800000000002
6.2,0.66,0.48,0.029,29.0,75.0,3.33,0.39,12.8,High,1.1870399999999999
7.4,0.34,0.42,0.033,17.0,171.0,3.12,0.53,11.3,Normal,1.09087
6.5,0.31,0.14,0.044,34.0,133.0,3.22,0.5,9.5,Normal,7.4662500000000005
6.4,0.31,0.38,0.038,19.0,102.0,3.17,0.35,11.0,Normal,2.8744799999999997
6.8,0.26,0.42,0.049,41.0,122.0,3.47,0.48,10.5,High,1.6881
7.6,0.67,0.14,0.074,25.0,168.0,3.05,0.51,9.3,Normal,1.49055
6.6,0.27,0.41,0.052,16.0,142.0,3.42,0.47,10.0,Normal,1.29363
7.0,0.25,0.32,0.046,56.0,245.0,3.25,0.5,10.4,Normal,8.9595
6.9,0.24,0.35,0.052,35.0,146.0,3.45,0.44,10.0,Normal,0.993
7.0,0.28,0.39,0.051,32.0,141.0,3.38,0.53,10.5,Normal,8.66607
7.4,0.27,0.48,0.047,17.0,132.0,3.19,0.49,11.6,Normal,1.09054
7.2,0.32,0.36,0.033,37.0,114.0,3.1,0.71,12.3,Normal,1.9812
8.5,0.24,0.39,0.044,20.0,142.0,3.2,0.53,10.0,Normal,10.372959999999999
8.3,0.14,0.34,0.042,7.0,47.0,3.47,0.4,10.2,Normal,1.09274
7.4,0.25,0.36,0.05,31.0,100.0,3.19,0.44,10.8,Normal,2.0336
6.2,0.12,0.34,0.045,43.0,117.0,3.42,0.51,9.0,Normal,1.49085
5.8,0.27,0.2,0.044,22.0,179.0,3.37,0.37,10.2,Normal,14.893189999999999
7.3,0.28,0.43,0.08,21.0,123.0,3.19,0.42,12.8,Normal,1.68385
6.5,0.39,0.23,0.051,25.0,149.0,3.24,0.35,10.0,Normal,5.3643600000000005
7.0,0.33,0.32,0.053,38.0,138.0,3.13,0.28,11.2,Normal,1.18872
7.3,0.24,0.39,0.057,45.0,149.0,3.21,0.36,8.6,Normal,17.948204999999998
6.7,0.23,0.39,0.172,63.0,158.0,3.11,0.36,9.4,Normal,2.4842500000000003
6.7,0.24,0.39,0.173,63.0,157.0,3.1,0.34,9.4,Normal,2.88173
7.0,0.31,0.26,0.069,28.0,160.0,3.13,0.46,9.8,Normal,7.36596
6.6,0.24,0.27,0.057,33.0,152.0,3.22,0.56,9.5,Normal,1.3907599999999998
6.7,0.23,0.26,0.06,33.0,154.0,3.24,0.56,9.5,Normal,1.3907599999999998
7.4,0.18,0.31,0.058,38.0,167.0,3.16,0.53,10.0,Normal,1.39034
6.2,0.45,0.26,0.063,63.0,206.0,3.27,0.52,9.8,Low,4.373600000000001
6.2,0.46,0.25,0.066,62.0,207.0,3.25,0.52,9.8,Normal,4.37316
6.9,0.19,0.35,0.067,32.0,150.0,3.36,0.48,9.8,Normal,4.975
7.2,0.19,0.31,0.062,31.0,173.0,3.35,0.44,11.7,Normal,1.5867200000000001
6.6,0.25,0.29,0.068,39.0,124.0,3.34,0.58,11.0,Normal,1.09054
6.2,0.16,0.33,0.057,21.0,82.0,3.32,0.46,10.9,Normal,1.0901
6.4,0.18,0.35,0.045,39.0,108.0,3.31,0.35,10.9,Normal,0.9911
6.8,0.2,0.59,0.147,38.0,132.0,3.05,0.38,9.1,Normal,0.8937
6.9,0.25,0.35,0.039,29.0,191.0,3.13,0.52,11.0,Normal,1.28804
